# Simulation 1 (Up to date)
# 1008 data points written for 6 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (41,6 m/s)
#
# Temps (s),Altitude (m),Accélération verticale (m/s²),Vitesse totale (m/s),Taux de roulis (°/s),Moment d'inertie longitudinale (kg·m²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
19.933,2869.2,-10.226,53.601,4.9901e-6,3.1971
19.983,2870.8,-10.177,53.278,4.9804e-6,3.1971
20.033,2872.3,-10.101,52.957,4.9903e-6,3.1971
20.083,2873.8,-10.062,52.64,5.0004e-6,3.1971
20.133,2875.3,-10.04,52.326,5.027e-6,3.1971
20.183,2876.8,-10.02,52.016,5.0169e-6,3.1971
20.233,2878.2,-10.008,51.709,4.9898e-6,3.1971
20.283,2879.7,-10.014,51.406,4.9905e-6,3.1971
20.333,2881,-10.028,51.106,5.0122e-6,3.1971
20.383,2882.4,-10.062,50.809,4.9956e-6,3.1971
20.433,2883.8,-10.096,50.517,4.9961e-6,3.1971
20.483,2885.1,-10.122,50.228,4.992e-6,3.1971
20.533,2886.4,-10.182,49.942,4.9843e-6,3.1971
20.583,2887.6,-10.226,49.661,4.9826e-6,3.1971
20.633,2888.9,-10.237,49.384,4.9973e-6,3.1971
20.683,2890.1,-10.225,49.11,4.9622e-6,3.1971
20.733,2891.3,-10.197,48.841,4.9875e-6,3.1971
20.783,2892.4,-10.171,48.576,4.995e-6,3.1971
20.833,2893.6,-10.126,48.316,4.9976e-6,3.1971
20.883,2894.7,-10.056,48.059,5.0012e-6,3.1971
20.933,2895.8,-9.9856,47.807,5.0011e-6,3.1971
20.983,2896.9,-9.9584,47.559,5.0087e-6,3.1971
21.033,2897.9,-9.9412,47.316,5.023e-6,3.1971
21.083,2898.9,-9.8969,47.077,5.0096e-6,3.1971
21.133,2899.9,-9.8461,46.842,4.9766e-6,3.1971
21.183,2900.9,-9.8183,46.611,4.9975e-6,3.1971
21.233,2901.8,-9.8351,46.385,5.0083e-6,3.1971
21.283,2902.7,-9.8456,46.164,5.026e-6,3.1971
21.333,2903.6,-9.8693,45.947,5.0043e-6,3.1971
21.383,2904.5,-9.9004,45.735,5.0208e-6,3.1971
21.433,2905.3,-9.9236,45.527,5.015e-6,3.1971
21.483,2906.1,-9.943,45.324,5.0163e-6,3.1971
21.533,2906.9,-9.9782,45.126,5.0134e-6,3.1971
21.583,2907.7,-10.011,44.933,5.012e-6,3.1971
21.633,2908.4,-10.027,44.744,5.0096e-6,3.1971
21.683,2909.2,-10.039,44.561,4.9961e-6,3.1971
21.733,2909.8,-10.045,44.383,5.0009e-6,3.1971
21.783,2910.5,-10.029,44.21,4.994e-6,3.1971
21.833,2911.2,-10.009,44.042,4.9923e-6,3.1971
21.883,2911.8,-9.9878,43.879,4.9897e-6,3.1971
21.933,2912.4,-9.9527,43.722,4.9948e-6,3.1971
21.983,2912.9,-9.9268,43.57,4.9968e-6,3.1971
22.033,2913.5,-9.8867,43.424,4.9963e-6,3.1971
22.083,2914,-9.8514,43.282,4.9981e-6,3.1971
22.133,2914.5,-9.8202,43.147,4.9967e-6,3.1971
22.183,2915,-9.7908,43.016,4.9944e-6,3.1971
22.233,2915.4,-9.7593,42.891,5.0074e-6,3.1971
22.283,2915.8,-9.7456,42.771,5.0032e-6,3.1971
22.333,2916.2,-9.7341,42.657,4.9973e-6,3.1971
22.383,2916.6,-9.7314,42.549,4.9974e-6,3.1971
22.433,2916.9,-9.7354,42.445,4.9998e-6,3.1971
22.483,2917.2,-9.7499,42.347,4.9897e-6,3.1971
22.533,2917.5,-9.7698,42.255,4.9929e-6,3.1971
22.583,2917.8,-9.7847,42.169,5.0009e-6,3.1971
22.633,2918.1,-9.8066,42.088,4.9982e-6,3.1971
22.683,2918.3,-9.8248,42.013,4.9983e-6,3.1971
22.733,2918.5,-9.8451,41.943,4.9957e-6,3.1971
22.783,2918.7,-9.8652,41.879,4.9989e-6,3.1971
22.833,2918.8,-9.8799,41.82,5.0055e-6,3.1971
22.883,2918.9,-9.8893,41.768,5.0095e-6,3.1971
22.933,2919,-9.8933,41.721,5.0074e-6,3.1971
22.983,2919.1,-9.8897,41.68,5.0041e-6,3.1971
23.033,2919.2,-9.8791,41.645,5.0047e-6,3.1971
23.083,2919.2,-9.8627,41.616,4.9911e-6,3.1971
23.133,2919.2,-9.8409,41.592,4.9838e-6,3.1971
# Event APOGEE occurred at t=23.183 seconds
23.183,2919.2,-9.8155,41.575,4.9892e-6,3.1971
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=23.184 seconds
23.191,2919.2,-8.3753,43.834,NaN,NaN
23.197,2919.2,-8.297,43.344,NaN,NaN
23.203,2919.2,-8.2195,42.855,NaN,NaN
23.209,2919.2,-8.1432,42.361,NaN,NaN
23.216,2919.2,-8.068,41.863,NaN,NaN
23.222,2919.1,-7.9936,41.365,NaN,NaN
23.229,2919.1,-7.9202,40.866,NaN,NaN
23.236,2919.1,-7.8477,40.368,NaN,NaN
23.242,2919.1,-7.7761,39.871,NaN,NaN
23.25,2919.1,-7.7053,39.373,NaN,NaN
23.257,2919.1,-7.6355,38.876,NaN,NaN
23.264,2919.1,-7.5677,38.359,NaN,NaN
23.272,2919.1,-7.5009,37.841,NaN,NaN
23.28,2919.1,-7.435,37.322,NaN,NaN
23.288,2919.1,-7.3701,36.804,NaN,NaN
23.297,2919,-7.306,36.284,NaN,NaN
23.305,2919,-7.2429,35.765,NaN,NaN
23.314,2919,-7.1792,35.266,NaN,NaN
23.323,2919,-7.1153,34.781,NaN,NaN
23.333,2919,-7.0524,34.296,NaN,NaN
23.342,2919,-6.9903,33.812,NaN,NaN
23.352,2918.9,-6.9291,33.329,NaN,NaN
23.363,2918.9,-6.8683,32.851,NaN,NaN
23.373,2918.9,-6.8069,32.392,NaN,NaN
23.384,2918.9,-6.7462,31.933,NaN,NaN
23.395,2918.9,-6.6864,31.477,NaN,NaN
23.407,2918.8,-6.6274,31.022,NaN,NaN
23.418,2918.8,-6.5711,30.55,NaN,NaN
23.431,2918.8,-6.517,30.067,NaN,NaN
23.443,2918.7,-6.4637,29.585,NaN,NaN
23.456,2918.7,-6.4113,29.104,NaN,NaN
23.47,2918.7,-6.3599,28.622,NaN,NaN
23.484,2918.6,-6.3095,28.139,NaN,NaN
23.498,2918.6,-6.2599,27.658,NaN,NaN
23.513,2918.5,-6.2111,27.177,NaN,NaN
23.528,2918.5,-6.1576,26.738,NaN,NaN
23.544,2918.4,-6.104,26.308,NaN,NaN
23.561,2918.4,-6.0509,25.882,NaN,NaN
23.578,2918.3,-6.0023,25.431,NaN,NaN
23.595,2918.3,-5.9566,24.969,NaN,NaN
23.614,2918.2,-5.9115,24.509,NaN,NaN
23.633,2918.1,-5.8736,24.011,NaN,NaN
23.652,2918.1,-5.8389,23.499,NaN,NaN
23.673,2918,-5.8038,22.994,NaN,NaN
23.695,2917.9,-5.762,22.532,NaN,NaN
23.717,2917.8,-5.7205,22.073,NaN,NaN
23.741,2917.7,-5.6741,21.646,NaN,NaN
23.765,2917.6,-5.6262,21.233,NaN,NaN
23.79,2917.5,-5.5771,20.83,NaN,NaN
23.816,2917.4,-5.5272,20.438,NaN,NaN
23.844,2917.2,-5.4871,20.005,NaN,NaN
23.872,2917.1,-5.4532,19.55,NaN,NaN
23.902,2916.9,-5.4232,19.081,NaN,NaN
23.934,2916.8,-5.3913,18.625,NaN,NaN
23.966,2916.6,-5.3246,18.316,NaN,NaN
24,2916.4,-5.276,17.941,NaN,NaN
24.036,2916.2,-5.246,17.499,NaN,NaN
24.073,2915.9,-5.1959,17.135,NaN,NaN
24.112,2915.7,-5.1599,16.726,NaN,NaN
24.154,2915.4,-5.1303,16.297,NaN,NaN
24.197,2915.1,-5.0907,15.906,NaN,NaN
24.242,2914.8,-5.0026,15.677,NaN,NaN
24.288,2914.5,-4.9103,15.467,NaN,NaN
24.338,2914.1,-4.9096,14.982,NaN,NaN
24.39,2913.7,-4.8498,14.672,NaN,NaN
24.444,2913.3,-4.7727,14.416,NaN,NaN
24.501,2912.9,-4.6913,14.175,NaN,NaN
24.561,2912.4,-4.613,13.928,NaN,NaN
24.623,2911.8,-4.5455,13.655,NaN,NaN
24.689,2911.2,-4.4077,13.56,NaN,NaN
24.757,2910.6,-4.2729,13.46,NaN,NaN
24.827,2909.9,-4.1174,13.411,NaN,NaN
24.902,2909.2,-4.0152,13.243,NaN,NaN
24.98,2908.4,-3.8765,13.154,NaN,NaN
25.062,2907.5,-3.6687,13.213,NaN,NaN
25.147,2906.6,-3.4779,13.239,NaN,NaN
25.238,2905.6,-3.332,13.176,NaN,NaN
25.333,2904.5,-3.1253,13.229,NaN,NaN
25.435,2903.4,-2.9103,13.299,NaN,NaN
25.541,2902.1,-2.6675,13.424,NaN,NaN
25.652,2900.7,-2.4049,13.59,NaN,NaN
25.772,2899.2,-2.2281,13.613,NaN,NaN
25.901,2897.6,-2.0157,13.697,NaN,NaN
26.042,2895.8,-1.8052,13.78,NaN,NaN
26.2,2893.7,-1.619,13.826,NaN,NaN
26.38,2891.2,-1.403,13.917,NaN,NaN
26.589,2888.4,-1.1779,14.022,NaN,NaN
26.824,2885.1,-0.90875,14.199,NaN,NaN
27.145,2880.5,-0.73534,14.252,NaN,NaN
27.532,2874.9,-0.45433,14.446,NaN,NaN
27.998,2868.2,-0.24168,14.588,NaN,NaN
28.498,2860.8,-0.10733,14.669,NaN,NaN
28.998,2853.5,-0.052288,14.687,NaN,NaN
29.498,2846.1,-0.0063446,14.719,NaN,NaN
29.998,2838.8,-0.011268,14.697,NaN,NaN
30.498,2831.4,0.0050802,14.705,NaN,NaN
30.998,2824.1,0.012452,14.707,NaN,NaN
31.498,2816.7,0.0069658,14.694,NaN,NaN
31.998,2809.4,0.010267,14.692,NaN,NaN
32.498,2802.1,0.010215,14.685,NaN,NaN
32.998,2794.7,0.011027,14.681,NaN,NaN
33.498,2787.4,0.010828,14.675,NaN,NaN
33.998,2780.1,0.011421,14.67,NaN,NaN
34.498,2772.7,0.010827,14.664,NaN,NaN
34.998,2765.4,0.011129,14.659,NaN,NaN
35.498,2758.1,0.010788,14.653,NaN,NaN
35.998,2750.7,0.013426,14.651,NaN,NaN
36.498,2743.4,0.0092257,14.641,NaN,NaN
36.998,2736.1,0.010938,14.637,NaN,NaN
37.498,2728.8,0.010946,14.632,NaN,NaN
37.998,2721.5,0.011018,14.626,NaN,NaN
38.498,2714.2,0.010456,14.62,NaN,NaN
38.998,2706.9,0.010412,14.614,NaN,NaN
39.498,2699.6,0.010646,14.609,NaN,NaN
39.998,2692.3,0.01106,14.604,NaN,NaN
40.498,2685,0.010559,14.598,NaN,NaN
40.998,2677.7,0.010715,14.593,NaN,NaN
41.498,2670.4,0.010758,14.588,NaN,NaN
41.998,2663.1,0.015227,14.589,NaN,NaN
42.498,2655.8,0.0089207,14.576,NaN,NaN
42.998,2648.5,0.0090189,14.57,NaN,NaN
43.498,2641.2,0.010116,14.566,NaN,NaN
43.998,2634,0.010427,14.561,NaN,NaN
44.498,2626.7,0.011892,14.558,NaN,NaN
44.998,2619.4,0.0096346,14.55,NaN,NaN
45.498,2612.1,0.01037,14.545,NaN,NaN
45.998,2604.9,0.01044,14.54,NaN,NaN
46.498,2597.6,0.010728,14.535,NaN,NaN
46.998,2590.3,0.0115,14.531,NaN,NaN
47.498,2583.1,0.011144,14.525,NaN,NaN
47.998,2575.8,0.0098118,14.518,NaN,NaN
48.498,2568.6,0.0096795,14.513,NaN,NaN
48.998,2561.3,0.012845,14.512,NaN,NaN
49.498,2554.1,0.0094823,14.503,NaN,NaN
49.998,2546.8,0.0093841,14.497,NaN,NaN
50.498,2539.6,0.0098831,14.492,NaN,NaN
50.998,2532.3,0.010244,14.487,NaN,NaN
51.498,2525.1,0.012505,14.485,NaN,NaN
51.998,2517.9,0.0092339,14.476,NaN,NaN
52.498,2510.6,0.010564,14.472,NaN,NaN
52.998,2503.4,0.0094649,14.466,NaN,NaN
53.498,2496.2,0.0099439,14.461,NaN,NaN
53.998,2488.9,0.010697,14.456,NaN,NaN
54.498,2481.7,0.011522,14.452,NaN,NaN
54.998,2474.5,0.010211,14.445,NaN,NaN
55.498,2467.3,0.010722,14.44,NaN,NaN
55.998,2460.1,0.010728,14.435,NaN,NaN
56.498,2452.8,0.010741,14.429,NaN,NaN
56.998,2445.6,0.010861,14.424,NaN,NaN
57.498,2438.4,0.01075,14.418,NaN,NaN
57.998,2431.2,0.01101,14.413,NaN,NaN
58.498,2424,0.011282,14.408,NaN,NaN
58.998,2416.8,0.01291,14.406,NaN,NaN
59.498,2409.6,0.010818,14.398,NaN,NaN
59.998,2402.4,0.0087627,14.39,NaN,NaN
60.498,2395.2,0.010079,14.386,NaN,NaN
60.998,2388.1,0.012215,14.383,NaN,NaN
61.498,2380.9,0.01108,14.377,NaN,NaN
61.998,2373.7,0.0094902,14.37,NaN,NaN
62.498,2366.5,0.010265,14.365,NaN,NaN
62.998,2359.3,0.010097,14.359,NaN,NaN
63.498,2352.1,0.010417,14.354,NaN,NaN
63.998,2345,0.010424,14.349,NaN,NaN
64.498,2337.8,0.010732,14.344,NaN,NaN
64.998,2330.6,0.015393,14.346,NaN,NaN
65.498,2323.5,0.0077955,14.332,NaN,NaN
65.998,2316.3,0.0097327,14.328,NaN,NaN
66.498,2309.2,0.010266,14.323,NaN,NaN
66.998,2302,0.012393,14.321,NaN,NaN
67.498,2294.8,0.012438,14.317,NaN,NaN
67.998,2287.7,0.00663,14.304,NaN,NaN
68.498,2280.5,0.010135,14.302,NaN,NaN
68.998,2273.4,0.011484,14.299,NaN,NaN
69.498,2266.3,0.0090906,14.291,NaN,NaN
69.998,2259.1,0.0095894,14.286,NaN,NaN
70.498,2252,0.0098472,14.281,NaN,NaN
70.998,2244.8,0.01438,14.282,NaN,NaN
71.498,2237.7,0.0075187,14.269,NaN,NaN
71.998,2230.6,0.0098403,14.266,NaN,NaN
72.498,2223.4,0.011913,14.263,NaN,NaN
72.998,2216.3,0.0096999,14.256,NaN,NaN
73.498,2209.2,0.0089849,14.25,NaN,NaN
73.998,2202.1,0.0095236,14.245,NaN,NaN
74.498,2195,0.010144,14.24,NaN,NaN
74.998,2187.8,0.010175,14.235,NaN,NaN
75.498,2180.7,0.0099085,14.23,NaN,NaN
75.998,2173.6,0.012833,14.229,NaN,NaN
76.498,2166.5,0.009258,14.22,NaN,NaN
76.998,2159.4,0.0086518,14.214,NaN,NaN
77.498,2152.3,0.0096067,14.209,NaN,NaN
77.998,2145.2,0.010104,14.205,NaN,NaN
78.498,2138.1,0.0098689,14.199,NaN,NaN
78.998,2131,0.0099493,14.195,NaN,NaN
79.498,2123.9,0.0099787,14.19,NaN,NaN
79.998,2116.8,0.011983,14.188,NaN,NaN
80.498,2109.7,0.0090837,14.179,NaN,NaN
80.998,2102.6,0.0093285,14.174,NaN,NaN
81.498,2095.6,0.009519,14.169,NaN,NaN
81.998,2088.5,0.010795,14.166,NaN,NaN
82.498,2081.4,0.014653,14.167,NaN,NaN
82.998,2074.3,0.0057764,14.152,NaN,NaN
83.498,2067.3,0.0085994,14.149,NaN,NaN
83.998,2060.2,0.0097975,14.145,NaN,NaN
84.498,2053.1,0.010028,14.141,NaN,NaN
84.998,2046,0.0099858,14.136,NaN,NaN
85.498,2039,0.014529,14.138,NaN,NaN
85.998,2031.9,0.0060809,14.123,NaN,NaN
86.498,2024.9,0.0091505,14.121,NaN,NaN
86.998,2017.8,0.010833,14.118,NaN,NaN
87.498,2010.8,0.0094131,14.112,NaN,NaN
87.998,2003.7,0.0081448,14.105,NaN,NaN
88.498,1996.7,0.009444,14.101,NaN,NaN
88.998,1989.6,0.0096849,14.096,NaN,NaN
89.498,1982.6,0.01094,14.093,NaN,NaN
89.998,1975.5,0.0095017,14.086,NaN,NaN
90.498,1968.5,0.010197,14.081,NaN,NaN
90.998,1961.4,0.012105,14.079,NaN,NaN
91.498,1954.4,0.008637,14.07,NaN,NaN
91.998,1947.4,0.0099839,14.066,NaN,NaN
92.498,1940.4,0.0098529,14.061,NaN,NaN
92.998,1933.3,0.011587,14.058,NaN,NaN
93.498,1926.3,0.009167,14.05,NaN,NaN
93.998,1919.3,0.010619,14.047,NaN,NaN
94.498,1912.3,0.0092414,14.04,NaN,NaN
94.998,1905.2,0.012452,14.039,NaN,NaN
95.498,1898.2,0.0081434,14.029,NaN,NaN
95.998,1891.2,0.0095066,14.025,NaN,NaN
96.498,1884.2,0.0099693,14.02,NaN,NaN
96.998,1877.2,0.010178,14.016,NaN,NaN
97.498,1870.2,0.010551,14.011,NaN,NaN
97.998,1863.2,0.010789,14.007,NaN,NaN
98.498,1856.2,0.0088019,14,NaN,NaN
98.998,1849.2,0.0095417,13.995,NaN,NaN
99.498,1842.2,0.010095,13.991,NaN,NaN
99.998,1835.2,0.011847,13.989,NaN,NaN
100.5,1828.2,0.0082645,13.979,NaN,NaN
101,1821.2,0.010034,13.976,NaN,NaN
101.5,1814.3,0.0097979,13.971,NaN,NaN
102,1807.3,0.0091345,13.965,NaN,NaN
102.5,1800.3,0.0096034,13.961,NaN,NaN
103,1793.3,0.0099164,13.956,NaN,NaN
103.5,1786.3,0.012909,13.956,NaN,NaN
104,1779.4,0.007403,13.945,NaN,NaN
104.5,1772.4,0.0092193,13.941,NaN,NaN
105,1765.4,0.009492,13.936,NaN,NaN
105.5,1758.5,0.010193,13.932,NaN,NaN
106,1751.5,0.0091363,13.926,NaN,NaN
106.5,1744.6,0.010396,13.923,NaN,NaN
107,1737.6,0.0091353,13.917,NaN,NaN
107.5,1730.6,0.012063,13.916,NaN,NaN
108,1723.7,0.0075915,13.906,NaN,NaN
108.5,1716.7,0.012091,13.907,NaN,NaN
109,1709.8,0.009129,13.899,NaN,NaN
109.5,1702.9,0.0082188,13.892,NaN,NaN
110,1695.9,0.0091281,13.888,NaN,NaN
110.5,1689,0.01131,13.886,NaN,NaN
111,1682,0.0074765,13.877,NaN,NaN
111.5,1675.1,0.0089029,13.873,NaN,NaN
112,1668.2,0.0098013,13.87,NaN,NaN
112.5,1661.2,0.010581,13.866,NaN,NaN
113,1654.3,0.010062,13.861,NaN,NaN
113.5,1647.4,0.0079979,13.854,NaN,NaN
114,1640.5,0.0088182,13.85,NaN,NaN
114.5,1633.5,0.014069,13.852,NaN,NaN
115,1626.6,0.0059287,13.838,NaN,NaN
115.5,1619.7,0.0089481,13.836,NaN,NaN
116,1612.8,0.0093038,13.832,NaN,NaN
116.5,1605.9,0.010931,13.829,NaN,NaN
117,1599,0.0082883,13.822,NaN,NaN
117.5,1592.1,0.0088594,13.818,NaN,NaN
118,1585.2,0.0092713,13.813,NaN,NaN
118.5,1578.2,0.008832,13.808,NaN,NaN
119,1571.3,0.01016,13.805,NaN,NaN
119.5,1564.4,0.0087816,13.799,NaN,NaN
120,1557.6,0.0086245,13.794,NaN,NaN
120.5,1550.7,0.0092744,13.79,NaN,NaN
121,1543.8,0.010348,13.787,NaN,NaN
121.5,1536.9,0.0082011,13.78,NaN,NaN
122,1530,0.0098052,13.777,NaN,NaN
122.5,1523.1,0.0086919,13.771,NaN,NaN
123,1516.2,0.010218,13.768,NaN,NaN
123.5,1509.3,0.007938,13.761,NaN,NaN
124,1502.5,0.0091954,13.758,NaN,NaN
124.5,1495.6,0.00901,13.753,NaN,NaN
125,1488.7,0.013851,13.755,NaN,NaN
125.5,1481.9,0.009017,13.745,NaN,NaN
126,1475,0.0063244,13.737,NaN,NaN
126.5,1468.1,0.0086793,13.733,NaN,NaN
127,1461.3,0.01017,13.73,NaN,NaN
127.5,1454.4,0.0097661,13.725,NaN,NaN
128,1447.5,0.009349,13.72,NaN,NaN
128.5,1440.7,0.0098627,13.716,NaN,NaN
129,1433.8,0.0097187,13.711,NaN,NaN
129.5,1427,0.0087592,13.705,NaN,NaN
130,1420.1,0.0094544,13.701,NaN,NaN
130.5,1413.3,0.0094902,13.696,NaN,NaN
131,1406.4,0.0090407,13.691,NaN,NaN
131.5,1399.6,0.011376,13.689,NaN,NaN
132,1392.8,0.0079005,13.681,NaN,NaN
132.5,1385.9,0.010205,13.678,NaN,NaN
133,1379.1,0.009097,13.673,NaN,NaN
133.5,1372.3,0.0086402,13.667,NaN,NaN
134,1365.4,0.0096426,13.663,NaN,NaN
134.5,1358.6,0.0096485,13.659,NaN,NaN
135,1351.8,0.0087473,13.653,NaN,NaN
135.5,1344.9,0.0092436,13.649,NaN,NaN
136,1338.1,0.009298,13.644,NaN,NaN
136.5,1331.3,0.0094878,13.64,NaN,NaN
137,1324.5,0.0096416,13.636,NaN,NaN
137.5,1317.7,0.0086541,13.63,NaN,NaN
138,1310.9,0.009234,13.626,NaN,NaN
138.5,1304.1,0.010904,13.623,NaN,NaN
139,1297.2,0.0086249,13.617,NaN,NaN
139.5,1290.4,0.010288,13.614,NaN,NaN
140,1283.6,0.0081752,13.607,NaN,NaN
140.5,1276.8,0.0090114,13.603,NaN,NaN
141,1270,0.0085026,13.598,NaN,NaN
141.5,1263.3,0.013501,13.6,NaN,NaN
142,1256.5,0.0066357,13.588,NaN,NaN
142.5,1249.7,0.0078158,13.584,NaN,NaN
143,1242.9,0.0085709,13.58,NaN,NaN
143.5,1236.1,0.0087347,13.575,NaN,NaN
144,1229.3,0.0088513,13.571,NaN,NaN
144.5,1222.5,0.012275,13.571,NaN,NaN
145,1215.7,0.0079276,13.562,NaN,NaN
145.5,1209,0.010761,13.561,NaN,NaN
146,1202.2,0.0064586,13.551,NaN,NaN
146.5,1195.4,0.0093301,13.549,NaN,NaN
147,1188.7,0.0088603,13.544,NaN,NaN
147.5,1181.9,0.0079854,13.539,NaN,NaN
148,1175.1,0.0084047,13.534,NaN,NaN
148.5,1168.4,0.0092085,13.531,NaN,NaN
149,1161.6,0.0099878,13.527,NaN,NaN
149.5,1154.8,0.0092954,13.523,NaN,NaN
150,1148.1,0.0089506,13.518,NaN,NaN
150.5,1141.3,0.012084,13.518,NaN,NaN
151,1134.6,0.0057304,13.506,NaN,NaN
151.5,1127.8,0.0073377,13.502,NaN,NaN
152,1121.1,0.010206,13.501,NaN,NaN
152.5,1114.3,0.007445,13.494,NaN,NaN
153,1107.6,0.0085438,13.49,NaN,NaN
153.5,1100.8,0.0094748,13.487,NaN,NaN
154,1094.1,0.010956,13.485,NaN,NaN
154.5,1087.4,0.0071879,13.477,NaN,NaN
155,1080.6,0.0074989,13.472,NaN,NaN
155.5,1073.9,0.0084765,13.468,NaN,NaN
156,1067.2,0.0085653,13.464,NaN,NaN
156.5,1060.4,0.0086513,13.46,NaN,NaN
157,1053.7,0.0088849,13.456,NaN,NaN
157.5,1047,0.0087686,13.451,NaN,NaN
158,1040.3,0.0084528,13.446,NaN,NaN
158.5,1033.5,0.0088537,13.443,NaN,NaN
159,1026.8,0.0087686,13.438,NaN,NaN
159.5,1020.1,0.010109,13.436,NaN,NaN
160,1013.4,0.0085286,13.43,NaN,NaN
160.5,1006.7,0.0084037,13.426,NaN,NaN
161,999.98,0.0073546,13.42,NaN,NaN
161.5,993.27,0.0085334,13.417,NaN,NaN
162,986.57,0.0092789,13.413,NaN,NaN
162.5,979.87,0.0085083,13.407,NaN,NaN
163,973.17,0.012421,13.408,NaN,NaN
163.5,966.47,0.0084977,13.4,NaN,NaN
164,959.77,0.0081675,13.395,NaN,NaN
164.5,953.08,0.0079164,13.389,NaN,NaN
165,946.39,0.0083337,13.385,NaN,NaN
165.5,939.7,0.0087304,13.381,NaN,NaN
166,933.01,0.0087419,13.376,NaN,NaN
166.5,926.33,0.010947,13.375,NaN,NaN
167,919.65,0.0074252,13.366,NaN,NaN
167.5,912.97,0.0086816,13.363,NaN,NaN
168,906.29,0.0086351,13.358,NaN,NaN
168.5,899.61,0.0093555,13.355,NaN,NaN
169,892.94,0.0084496,13.349,NaN,NaN
169.5,886.27,0.0096383,13.346,NaN,NaN
170,879.6,0.0096573,13.342,NaN,NaN
170.5,872.93,0.0080979,13.336,NaN,NaN
171,866.27,0.0081022,13.331,NaN,NaN
171.5,859.61,0.012332,13.332,NaN,NaN
172,852.95,0.0061296,13.321,NaN,NaN
172.5,846.29,0.0079816,13.318,NaN,NaN
173,839.63,0.0085046,13.314,NaN,NaN
173.5,832.98,0.0090358,13.31,NaN,NaN
174,826.33,0.009446,13.307,NaN,NaN
174.5,819.68,0.0094127,13.303,NaN,NaN
175,813.03,0.007621,13.296,NaN,NaN
175.5,806.39,0.0082369,13.292,NaN,NaN
176,799.74,0.008528,13.288,NaN,NaN
176.5,793.1,0.010177,13.286,NaN,NaN
177,786.46,0.0076193,13.279,NaN,NaN
177.5,779.83,0.01022,13.277,NaN,NaN
178,773.19,0.0070469,13.27,NaN,NaN
178.5,766.56,0.0093856,13.268,NaN,NaN
179,759.93,0.0094187,13.264,NaN,NaN
179.5,753.31,0.0070517,13.257,NaN,NaN
180,746.68,0.0082748,13.253,NaN,NaN
180.5,740.06,0.014041,13.257,NaN,NaN
181,733.44,0.0051103,13.243,NaN,NaN
181.5,726.82,0.0069393,13.24,NaN,NaN
182,720.2,0.0080759,13.236,NaN,NaN
182.5,713.59,0.0083826,13.232,NaN,NaN
183,706.97,0.0089236,13.229,NaN,NaN
183.5,700.36,0.007867,13.223,NaN,NaN
184,693.76,0.014334,13.227,NaN,NaN
184.5,687.15,0.0039972,13.212,NaN,NaN
185,680.55,0.0080504,13.211,NaN,NaN
185.5,673.94,0.0091137,13.208,NaN,NaN
186,667.34,0.0076088,13.202,NaN,NaN
186.5,660.75,0.0074781,13.198,NaN,NaN
187,654.15,0.0081832,13.194,NaN,NaN
187.5,647.56,0.0082642,13.19,NaN,NaN
188,640.96,0.0094148,13.187,NaN,NaN
188.5,634.37,0.0076445,13.181,NaN,NaN
189,627.79,0.0085666,13.178,NaN,NaN
189.5,621.2,0.0081531,13.173,NaN,NaN
190,614.62,0.010883,13.173,NaN,NaN
190.5,608.04,0.0071571,13.165,NaN,NaN
191,601.46,0.0072679,13.16,NaN,NaN
191.5,594.88,0.0085833,13.158,NaN,NaN
192,588.31,0.0074431,13.152,NaN,NaN
192.5,581.73,0.0078722,13.148,NaN,NaN
193,575.16,0.0081416,13.144,NaN,NaN
193.5,568.59,0.012473,13.146,NaN,NaN
194,562.03,0.006389,13.136,NaN,NaN
194.5,555.46,0.0066405,13.131,NaN,NaN
195,548.9,0.0075527,13.128,NaN,NaN
195.5,542.34,0.0080678,13.124,NaN,NaN
196,535.78,0.0079936,13.12,NaN,NaN
196.5,529.22,0.008493,13.116,NaN,NaN
197,522.67,0.0079349,13.112,NaN,NaN
197.5,516.12,0.010959,13.112,NaN,NaN
198,509.57,0.0063679,13.103,NaN,NaN
198.5,503.02,0.0077598,13.1,NaN,NaN
199,496.47,0.0091355,13.097,NaN,NaN
199.5,489.93,0.0066052,13.09,NaN,NaN
200,483.39,0.011811,13.092,NaN,NaN
200.5,476.85,0.0071564,13.083,NaN,NaN
201,470.31,0.0068939,13.078,NaN,NaN
201.5,463.77,0.0084016,13.075,NaN,NaN
202,457.24,0.012598,13.076,NaN,NaN
202.5,450.71,0.0053795,13.064,NaN,NaN
203,444.18,0.0091251,13.064,NaN,NaN
203.5,437.65,0.006566,13.056,NaN,NaN
204,431.13,0.0081622,13.053,NaN,NaN
204.5,424.6,0.0092377,13.05,NaN,NaN
205,418.08,0.0076215,13.044,NaN,NaN
205.5,411.56,0.0095612,13.042,NaN,NaN
206,405.05,0.0092912,13.039,NaN,NaN
206.5,398.53,0.0064727,13.031,NaN,NaN
207,392.02,0.0080995,13.028,NaN,NaN
207.5,385.51,0.009723,13.026,NaN,NaN
208,379,0.0081349,13.02,NaN,NaN
208.5,372.49,0.00719,13.015,NaN,NaN
