# Simulation 1 (Up to date)
# 1008 data points written for 6 variables.
# Simulation warnings:
#   Deploiement du systeme de recuperation à grande vitesse (41,6 m/s)
#
# Temps (s),Altitude (m),Accélération verticale (m/s²),Vitesse totale (m/s),Taux de roulis (°/s),Moment d'inertie longitudinale (kg·m²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
3.7829,600.7,37.28,295.1,7.2676e-6,3.2602
3.8329,614.95,36.561,297.07,6.3782e-6,3.2549
3.8829,629.3,35.396,299,5.4004e-6,3.2495
3.9329,643.73,33.224,300.87,5.0622e-6,3.2442
3.9829,658.26,30.332,302.63,4.9757e-6,3.2389
4.0329,672.86,25.023,304.24,3.7115e-6,3.2344
4.0829,687.52,19.918,305.58,2.3051e-6,3.231
4.1329,702.25,14.634,306.65,2.3961e-6,3.2279
4.1829,717.02,9.5673,307.45,2.2159e-6,3.2249
4.2329,731.82,4.4095,307.98,2.5054e-6,3.2218
4.2829,746.63,-0.59817,308.25,2.0934e-6,3.2188
4.3329,761.45,-5.6635,308.26,1.633e-6,3.2157
4.3829,776.26,-10.568,308.01,1.0915e-6,3.2127
4.4329,791.06,-15.598,307.5,5.5543e-7,3.2096
4.4829,805.82,-20.329,306.74,1.3993e-6,3.2065
4.5329,820.53,-25.303,305.72,4.0547e-6,3.2034
4.5829,835.19,-31.058,304.45,3.2659e-6,3.2003
4.6329,849.78,-39.529,302.88,3.228e-6,3.1981
# Event BURNOUT occurred at t=4.6829 seconds
4.6829,864.28,-41.608,300.87,3.5606e-6,3.1972
4.7329,878.68,-40.894,298.76,2.9682e-6,3.1971
4.7829,892.98,-40.314,296.68,2.9008e-6,3.1971
4.8329,907.18,-39.628,294.64,2.9156e-6,3.1971
4.8829,921.27,-39.03,292.62,1.6374e-6,3.1971
4.9329,935.27,-38.472,290.64,1.1578e-6,3.1971
4.9829,949.18,-38.007,288.69,1.7529e-6,3.1971
5.0329,962.99,-37.46,286.76,1.242e-6,3.1971
5.0829,976.7,-36.754,284.86,6.3076e-7,3.1971
5.1329,990.33,-36.542,282.99,1.1742e-6,3.1971
5.1829,1003.9,-35.962,281.14,1.4841e-6,3.1971
5.2329,1017.3,-35.468,279.31,2.3127e-6,3.1971
5.2829,1030.7,-35.083,277.51,2.0654e-6,3.1971
5.3329,1043.9,-34.579,275.73,1.9914e-6,3.1971
5.3829,1057.1,-34.212,273.98,2.1231e-6,3.1971
5.4329,1070.2,-33.781,272.24,2.0761e-6,3.1971
5.4829,1083.2,-33.371,270.53,2.3445e-6,3.1971
5.5329,1096.1,-33.007,268.84,2.463e-6,3.1971
5.5829,1109,-32.594,267.17,2.5486e-6,3.1971
5.6329,1121.7,-32.266,265.51,3.0508e-6,3.1971
5.6829,1134.4,-31.968,263.88,2.8936e-6,3.1971
5.7329,1147,-31.506,262.26,2.9154e-6,3.1971
5.7829,1159.5,-31.148,260.66,3.8829e-6,3.1971
5.8329,1172,-30.934,259.08,4.256e-6,3.1971
5.8829,1184.4,-30.479,257.52,4.7521e-6,3.1971
5.9329,1196.6,-30.314,255.97,4.8515e-6,3.1971
5.9829,1208.9,-29.878,254.44,4.5267e-6,3.1971
6.0329,1221,-29.576,252.92,5.2436e-6,3.1971
6.0829,1233.1,-29.373,251.43,5.4051e-6,3.1971
6.1329,1245.1,-29.03,249.94,5.9432e-6,3.1971
